Time;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;3990;3990;3990;3990;3990;3990;3990;3990;3990;H2O;H2O;4110;4110;4110;4110;4110;4110;4110;4110;4110;4170;4170;4170;4170;4170;4170;4170;4170;4170;H2O;H2O;4171;4171;4171;4171;4171;4171;4171;4171;4171;4172;4172;4172;4172;4172;4172;4172;4172;4172;H2O;H2O;4173;4173;4173;4173;4173;4173;4173;4173;4173;4174;4174;4174;4174;4174;4174;4174;4174;4174;H2O;H2O;4175;4175;4175;4175;4175;4175;4175;4175;4175;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;4136;4136;4136;4136;4136;4136;4136;4136;4136;H2O;H2O;H2O
Label;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;H2O
0;0.067;0.071;0.069;0.07;0.069;0.07;0.067;0.068;0.068;0.07;0.069;0.068;0.07;0.071;0.07;0.07;0.071;0.072;0.07;0.067;0.069;0.07;0.069;0.069;0.069;0.071;0.071;0.07;0.07;0.07;0.069;0.069;0.068;0.07;0.07;0.069;0.071;0.07;0.07;0.069;0.069;0.069;0.069;0.069;0.069;0.069;0.07;0.07;0.07;0.07;0.067;0.068;0.069;0.069;0.068;0.069;0.07;0.07;0.072;0.068;0.073;0.068;0.068;0.07;0.069;0.068;0.069;0.069;0.071;0.071;0.067;0.069;0.068;0.068;0.067;0.072;0.07;0.07;0.073;0.068;0.067;0.069;0.068;0.068;0.066;0.065;0.067;0.069;0.07;0.069;0.066;0.068;0.065;0.065;0.065;0.066;0.067;0.07;0.067;0.086;0.066;0.067;0.067;0.067;0.067;0.068;0.089;0.071;0.07;0.069;0.066;0.066;0.067
0.25;0.067;0.07;0.069;0.07;0.068;0.07;0.067;0.067;0.067;0.069;0.069;0.068;0.069;0.069;0.069;0.069;0.07;0.071;0.07;0.067;0.068;0.07;0.069;0.069;0.069;0.07;0.07;0.069;0.068;0.069;0.069;0.068;0.068;0.069;0.07;0.069;0.069;0.069;0.069;0.068;0.068;0.069;0.068;0.069;0.068;0.069;0.07;0.069;0.068;0.069;0.066;0.068;0.068;0.069;0.068;0.068;0.069;0.068;0.071;0.068;0.071;0.068;0.068;0.068;0.068;0.068;0.068;0.068;0.069;0.069;0.068;0.069;0.069;0.067;0.067;0.072;0.068;0.069;0.073;0.067;0.066;0.069;0.068;0.068;0.066;0.065;0.067;0.069;0.069;0.069;0.066;0.069;0.066;0.065;0.065;0.067;0.067;0.07;0.066;0.085;0.066;0.069;0.068;0.069;0.069;0.07;0.089;0.072;0.071;0.07;0.066;0.067;0.068
0.5;0.067;0.071;0.069;0.07;0.068;0.071;0.067;0.067;0.067;0.069;0.069;0.068;0.069;0.069;0.069;0.069;0.071;0.071;0.07;0.067;0.068;0.07;0.069;0.069;0.068;0.071;0.071;0.069;0.069;0.07;0.069;0.068;0.068;0.069;0.07;0.069;0.07;0.069;0.069;0.069;0.068;0.069;0.069;0.069;0.069;0.069;0.07;0.069;0.069;0.069;0.067;0.068;0.069;0.069;0.068;0.068;0.069;0.069;0.071;0.068;0.072;0.068;0.068;0.068;0.069;0.068;0.068;0.068;0.07;0.07;0.068;0.068;0.069;0.067;0.067;0.071;0.068;0.07;0.073;0.067;0.066;0.068;0.068;0.068;0.066;0.065;0.068;0.069;0.071;0.071;0.066;0.069;0.066;0.065;0.065;0.066;0.067;0.07;0.066;0.085;0.067;0.069;0.068;0.069;0.069;0.07;0.088;0.073;0.071;0.07;0.066;0.068;0.068
0.75;0.067;0.071;0.069;0.07;0.067;0.071;0.067;0.067;0.067;0.069;0.069;0.068;0.07;0.069;0.069;0.07;0.071;0.072;0.071;0.067;0.068;0.07;0.069;0.069;0.069;0.071;0.071;0.069;0.069;0.069;0.069;0.069;0.068;0.069;0.07;0.069;0.07;0.069;0.069;0.068;0.068;0.069;0.069;0.069;0.069;0.069;0.07;0.069;0.07;0.07;0.067;0.068;0.069;0.069;0.068;0.069;0.07;0.069;0.072;0.067;0.072;0.068;0.068;0.069;0.069;0.068;0.069;0.069;0.071;0.071;0.068;0.069;0.069;0.067;0.067;0.072;0.069;0.07;0.074;0.067;0.067;0.069;0.068;0.068;0.067;0.066;0.068;0.07;0.071;0.07;0.066;0.068;0.066;0.065;0.065;0.066;0.067;0.07;0.067;0.087;0.066;0.069;0.068;0.069;0.069;0.07;0.086;0.073;0.072;0.071;0.067;0.068;0.068
1;0.068;0.071;0.069;0.07;0.069;0.071;0.068;0.067;0.067;0.069;0.07;0.069;0.07;0.069;0.07;0.07;0.072;0.073;0.072;0.066;0.068;0.068;0.069;0.07;0.069;0.071;0.071;0.07;0.07;0.07;0.069;0.068;0.069;0.069;0.07;0.069;0.071;0.07;0.07;0.07;0.07;0.069;0.069;0.07;0.069;0.07;0.07;0.071;0.07;0.071;0.067;0.068;0.07;0.069;0.068;0.069;0.071;0.07;0.072;0.068;0.072;0.069;0.069;0.069;0.069;0.069;0.069;0.07;0.072;0.071;0.068;0.069;0.069;0.068;0.067;0.072;0.069;0.071;0.074;0.067;0.067;0.068;0.069;0.068;0.067;0.066;0.067;0.07;0.072;0.071;0.067;0.068;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.087;0.067;0.069;0.068;0.07;0.07;0.07;0.089;0.074;0.073;0.072;0.067;0.068;0.068
1.25;0.067;0.07;0.069;0.07;0.068;0.071;0.068;0.067;0.067;0.069;0.069;0.069;0.07;0.069;0.07;0.07;0.073;0.073;0.073;0.066;0.069;0.068;0.069;0.07;0.069;0.071;0.07;0.07;0.07;0.07;0.069;0.068;0.069;0.07;0.07;0.069;0.071;0.07;0.07;0.069;0.07;0.069;0.069;0.069;0.069;0.069;0.07;0.071;0.071;0.071;0.067;0.068;0.07;0.069;0.068;0.069;0.071;0.07;0.073;0.068;0.071;0.068;0.068;0.068;0.069;0.068;0.068;0.07;0.072;0.072;0.068;0.069;0.069;0.067;0.067;0.072;0.07;0.071;0.074;0.067;0.066;0.069;0.069;0.069;0.067;0.066;0.067;0.071;0.072;0.071;0.066;0.068;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.067;0.069;0.068;0.069;0.069;0.07;0.089;0.074;0.073;0.073;0.068;0.068;0.068
1.5;0.068;0.07;0.069;0.07;0.07;0.071;0.068;0.067;0.067;0.069;0.069;0.069;0.07;0.069;0.07;0.07;0.074;0.074;0.073;0.066;0.068;0.068;0.069;0.069;0.069;0.071;0.07;0.069;0.07;0.07;0.069;0.068;0.068;0.069;0.07;0.069;0.071;0.07;0.07;0.07;0.069;0.069;0.069;0.069;0.069;0.069;0.07;0.071;0.071;0.071;0.067;0.068;0.069;0.069;0.068;0.069;0.071;0.071;0.073;0.067;0.07;0.068;0.068;0.067;0.069;0.068;0.068;0.07;0.072;0.072;0.068;0.068;0.068;0.067;0.067;0.071;0.07;0.071;0.074;0.068;0.066;0.068;0.068;0.068;0.067;0.065;0.067;0.071;0.073;0.072;0.066;0.069;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.069;0.067;0.069;0.068;0.069;0.069;0.07;0.09;0.075;0.074;0.073;0.068;0.069;0.068
1.75;0.068;0.071;0.069;0.07;0.07;0.072;0.067;0.067;0.067;0.07;0.069;0.068;0.07;0.069;0.07;0.07;0.074;0.076;0.076;0.069;0.069;0.068;0.069;0.069;0.069;0.071;0.07;0.07;0.07;0.07;0.069;0.068;0.068;0.069;0.07;0.068;0.071;0.071;0.071;0.069;0.07;0.069;0.069;0.069;0.069;0.07;0.07;0.072;0.072;0.072;0.067;0.068;0.07;0.069;0.068;0.069;0.072;0.071;0.074;0.068;0.071;0.068;0.068;0.068;0.069;0.068;0.068;0.071;0.073;0.072;0.068;0.069;0.069;0.067;0.067;0.072;0.071;0.072;0.075;0.067;0.066;0.068;0.068;0.068;0.067;0.065;0.067;0.072;0.073;0.073;0.066;0.068;0.066;0.065;0.065;0.066;0.067;0.07;0.066;0.085;0.066;0.069;0.068;0.069;0.069;0.07;0.09;0.076;0.074;0.073;0.067;0.068;0.068
2;0.067;0.07;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.069;0.069;0.07;0.069;0.07;0.07;0.074;0.075;0.074;0.067;0.07;0.068;0.07;0.07;0.069;0.071;0.07;0.07;0.07;0.07;0.07;0.069;0.068;0.07;0.07;0.069;0.072;0.072;0.072;0.07;0.071;0.069;0.069;0.07;0.069;0.07;0.071;0.073;0.073;0.073;0.067;0.068;0.07;0.069;0.068;0.069;0.073;0.073;0.075;0.068;0.071;0.068;0.068;0.068;0.069;0.068;0.068;0.072;0.074;0.073;0.068;0.068;0.069;0.067;0.067;0.072;0.071;0.073;0.076;0.067;0.067;0.068;0.069;0.068;0.067;0.066;0.067;0.073;0.075;0.074;0.066;0.068;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.087;0.067;0.068;0.068;0.069;0.069;0.07;0.09;0.076;0.075;0.074;0.067;0.069;0.068
