Label;;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;3700;3700;3700;3700;3700;3700;3700;3700;3700;H2O;H2O;4160;4160;4160;4160;4160;4160;4160;4160;4160;3936;3936;3936;3936;3936;3936;3936;3936;3936;H2O;H2O;3986;3986;3986;3986;3986;3986;3986;3986;3986;4096;4096;4096;4096;4096;4096;4096;4096;4096;H2O;H2O;4097;4097;4097;4097;4097;4097;4097;4097;4097;4050;4050;4050;4050;4050;4050;4050;4050;4050;H2O;H2O;4275;4275;4275;4275;4275;4275;4275;4275;4275;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O
Info;;;;;;;;;;;;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;;;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;;;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;;;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;;;mgg;mgg;mgg;mggl;mggl;mggl;mggls;mggls;mggls;;;;;;;;;;
Time;Blank;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
0;0;0.067;0.068;0.068;0.07;0.068;0.067;0.067;0.068;0.069;0.07;0.069;0.068;0.072;0.069;0.07;0.069;0.069;0.069;0.068;0.067;0.069;0.069;0.071;0.071;0.071;0.072;0.071;0.071;0.069;0.071;0.07;0.07;0.071;0.07;0.071;0.07;0.07;0.069;0.07;0.068;0.067;0.071;0.07;0.071;0.075;0.07;0.069;0.069;0.069;0.069;0.068;0.071;0.071;0.071;0.069;0.07;0.071;0.069;0.069;0.068;0.068;0.07;0.069;0.068;0.069;0.069;0.069;0.068;0.068;0.068;0.07;0.07;0.07;0.07;0.069;0.07;0.07;0.069;0.07;0.069;0.069;0.07;0.069;0.069;0.068;0.069;0.069;0.071;0.071;0.072;0.069;0.067;0.068;0.07;0.068;0.068;0.069;0.069;0.07;0.071
0.25;0;0.067;0.068;0.067;0.07;0.068;0.068;0.067;0.068;0.069;0.069;0.069;0.068;0.072;0.069;0.07;0.07;0.07;0.069;0.068;0.067;0.067;0.069;0.071;0.07;0.07;0.071;0.07;0.07;0.068;0.07;0.069;0.069;0.07;0.07;0.07;0.069;0.069;0.068;0.068;0.068;0.066;0.07;0.069;0.07;0.074;0.069;0.068;0.068;0.067;0.068;0.068;0.07;0.07;0.07;0.068;0.069;0.07;0.068;0.068;0.067;0.067;0.069;0.068;0.068;0.067;0.067;0.068;0.067;0.067;0.067;0.069;0.068;0.069;0.069;0.068;0.069;0.069;0.068;0.069;0.067;0.068;0.069;0.068;0.067;0.067;0.067;0.067;0.069;0.069;0.07;0.067;0.066;0.067;0.07;0.066;0.066;0.067;0.067;0.067;0.068
0.5;0;0.067;0.067;0.067;0.07;0.069;0.068;0.067;0.067;0.068;0.069;0.068;0.068;0.072;0.068;0.07;0.068;0.068;0.068;0.068;0.066;0.066;0.067;0.07;0.07;0.07;0.071;0.071;0.071;0.068;0.07;0.069;0.068;0.068;0.068;0.069;0.068;0.069;0.067;0.068;0.069;0.066;0.069;0.067;0.069;0.073;0.068;0.067;0.068;0.067;0.068;0.069;0.071;0.07;0.071;0.069;0.068;0.07;0.067;0.068;0.068;0.069;0.071;0.069;0.069;0.068;0.068;0.069;0.068;0.068;0.068;0.071;0.07;0.071;0.07;0.069;0.07;0.069;0.068;0.07;0.068;0.069;0.07;0.069;0.069;0.068;0.068;0.068;0.071;0.071;0.072;0.069;0.069;0.07;0.074;0.069;0.07;0.07;0.07;0.07;0.071
0.75;0;0.068;0.068;0.067;0.07;0.068;0.068;0.067;0.066;0.069;0.069;0.069;0.068;0.072;0.068;0.07;0.068;0.068;0.069;0.067;0.066;0.068;0.067;0.07;0.069;0.068;0.07;0.069;0.069;0.067;0.068;0.069;0.07;0.07;0.07;0.07;0.069;0.07;0.068;0.069;0.067;0.067;0.07;0.069;0.069;0.072;0.066;0.065;0.065;0.064;0.064;0.063;0.066;0.067;0.066;0.065;0.065;0.066;0.064;0.064;0.06;0.062;0.064;0.064;0.064;0.064;0.063;0.064;0.063;0.063;0.063;0.064;0.064;0.066;0.065;0.065;0.066;0.065;0.064;0.065;0.063;0.061;0.062;0.062;0.063;0.062;0.06;0.061;0.063;0.063;0.064;0.063;0.062;0.062;0.069;0.061;0.062;0.062;0.062;0.063;0.063
1;0.003;0.07;0.069;0.069;0.075;0.066;0.065;0.066;0.068;0.074;0.08;0.075;0.073;0.075;0.081;0.087;0.079;0.086;0.078;0.08;0.077;0.082;0.07;0.076;0.073;0.074;0.08;0.083;0.08;0.081;0.075;0.06;0.061;0.06;0.059;0.06;0.059;0.058;0.057;0.06;0.063;0.057;0.06;0.059;0.06;0.064;0.058;0.056;0.058;0.059;0.059;0.066;0.069;0.066;0.063;0.062;0.061;0.062;0.059;0.06;0.058;0.067;0.071;0.071;0.072;0.068;0.08;0.071;0.071;0.067;0.06;0.08;0.084;0.081;0.079;0.077;0.066;0.066;0.064;0.064;0.061;0.082;0.069;0.068;0.07;0.07;0.058;0.059;0.062;0.065;0.068;0.061;0.072;0.071;0.078;0.07;0.072;0.071;0.074;0.071;0.072
1.25;0;0.066;0.067;0.066;0.069;0.066;0.066;0.065;0.066;0.068;0.067;0.068;0.068;0.072;0.068;0.07;0.068;0.068;0.068;0.067;0.064;0.067;0.069;0.07;0.07;0.069;0.072;0.07;0.069;0.068;0.069;0.07;0.07;0.071;0.07;0.072;0.07;0.071;0.069;0.069;0.068;0.067;0.07;0.068;0.07;0.074;0.07;0.068;0.069;0.068;0.069;0.068;0.069;0.069;0.069;0.068;0.068;0.07;0.067;0.069;0.068;0.066;0.069;0.067;0.067;0.067;0.067;0.067;0.067;0.066;0.066;0.066;0.066;0.066;0.065;0.065;0.066;0.066;0.067;0.069;0.067;0.066;0.065;0.066;0.066;0.063;0.062;0.062;0.064;0.064;0.065;0.077;0.073;0.075;0.086;0.078;0.075;0.078;0.074;0.071;0.067
1.5;0;0.065;0.064;0.063;0.066;0.064;0.064;0.064;0.064;0.066;0.065;0.064;0.063;0.066;0.062;0.064;0.062;0.063;0.063;0.062;0.061;0.064;0.065;0.066;0.067;0.066;0.068;0.068;0.067;0.065;0.066;0.063;0.063;0.064;0.063;0.064;0.063;0.064;0.063;0.064;0.063;0.061;0.064;0.064;0.064;0.07;0.064;0.062;0.064;0.065;0.065;0.074;0.076;0.067;0.067;0.065;0.065;0.066;0.065;0.065;0.064;0.071;0.072;0.071;0.073;0.07;0.066;0.065;0.063;0.064;0.064;0.062;0.063;0.066;0.069;0.069;0.071;0.07;0.068;0.069;0.066;0.062;0.061;0.062;0.062;0.06;0.059;0.058;0.059;0.059;0.06;0.059;0.058;0.059;0.065;0.057;0.058;0.059;0.058;0.059;0.059
1.75;0;0.068;0.068;0.068;0.07;0.069;0.068;0.068;0.069;0.071;0.071;0.071;0.07;0.074;0.07;0.071;0.07;0.071;0.071;0.07;0.068;0.071;0.071;0.073;0.073;0.073;0.075;0.074;0.073;0.072;0.073;0.074;0.074;0.074;0.073;0.074;0.072;0.074;0.073;0.073;0.072;0.072;0.075;0.074;0.074;0.08;0.075;0.074;0.075;0.074;0.074;0.074;0.076;0.076;0.076;0.074;0.075;0.077;0.074;0.075;0.072;0.072;0.074;0.074;0.074;0.074;0.074;0.074;0.074;0.074;0.073;0.076;0.076;0.077;0.076;0.075;0.074;0.075;0.075;0.076;0.073;0.075;0.075;0.075;0.077;0.075;0.075;0.074;0.076;0.076;0.075;0.074;0.073;0.073;0.079;0.072;0.072;0.074;0.074;0.075;0.075
