Time,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,3936,3936,3936,3936,3936,3936,3936,3936,3936,H2O,H2O,4050,4050,4050,4050,4050,4050,4050,4050,4050,3986,3986,3986,3986,3986,3986,3986,3986,3986,H2O,H2O,4097,4097,4097,4097,4097,4097,4097,4097,4097,4096,4096,4096,4096,4096,4096,4096,4096,4096,H2O,H2O,3700,3700,3700,3700,3700,3700,3700,3700,3700,4160,4160,4160,4160,4160,4160,4160,4160,4160,H2O,H2O,4255,4255,4255,4255,4255,4255,4255,4255,4255,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,3936,3936,3936,3936,3936,3936,3936,3936,3936,H2O,H2O,4050,4050,4050,4050,4050,4050,4050,4050,4050,3986,3986,3986,3986,3986,3986,3986,3986,3986,H2O,H2O,4097,4097,4097,4097,4097,4097,4097,4097,4097,4096,4096,4096,4096,4096,4096,4096,4096,4096,H2O,H2O,3700,3700,3700,3700,3700,3700,3700,3700,3700,4160,4160,4160,4160,4160,4160,4160,4160,4160,H2O,H2O,4255,4255,4255,4255,4255,4255,4255,4255,4255,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
Label,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,mgg,mgg,mgg,mggl,mggl,mggl,mggls,mggls,mggls,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
0,0.067,0.068,0.067,0.068,0.068,0.068,0.067,0.067,0.067,0.067,0.068,0.068,0.069,0.068,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.07,0.069,0.07,0.069,0.072,0.07,0.069,0.07,0.069,0.069,0.071,0.07,0.069,0.071,0.071,0.07,0.069,0.069,0.068,0.068,0.07,0.07,0.071,0.071,0.071,0.072,0.072,0.071,0.074,0.068,0.069,0.069,0.069,0.068,0.068,0.07,0.07,0.073,0.071,0.068,0.069,0.07,0.07,0.071,0.073,0.071,0.071,0.071,0.071,0.07,0.07,0.07,0.069,0.069,0.069,0.069,0.071,0.072,0.069,0.068,0.07,0.069,0.069,0.069,0.069,0.071,0.07,0.07,0.071,0.067,0.066,0.067,0.067,0.068,0.067,0.067,0.067,0.067,0.069,0.068,0.068,0.068,0.068,0.068,0.069,0.068,0.068,0.068,0.07,0.069,0.069,0.07,0.069,0.069,0.069,0.07,0.07,0.069,0.068,0.069,0.07,0.07,0.071,0.069,0.071,0.073,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.07,0.07,0.069,0.069,0.07,0.07,0.07,0.071,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.071,0.071,0.07,0.069,0.07,0.07,0.069,0.07,0.069,0.071,0.07,0.07,0.071,0.071,0.073,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.072,0.071,0.071,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.07,0.069,0.068,0.067,0.068,0.069,0.068,0.068,0.068
0.25,0.068,0.068,0.068,0.069,0.067,0.068,0.067,0.067,0.067,0.068,0.068,0.068,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.067,0.068,0.07,0.069,0.07,0.069,0.071,0.069,0.069,0.069,0.068,0.068,0.07,0.069,0.069,0.069,0.071,0.069,0.068,0.069,0.069,0.067,0.069,0.069,0.07,0.069,0.068,0.069,0.069,0.068,0.071,0.067,0.068,0.068,0.069,0.068,0.068,0.068,0.069,0.069,0.067,0.067,0.068,0.069,0.068,0.069,0.071,0.069,0.07,0.073,0.071,0.069,0.069,0.069,0.068,0.068,0.068,0.069,0.069,0.072,0.068,0.068,0.069,0.068,0.068,0.068,0.068,0.07,0.069,0.069,0.07,0.067,0.065,0.066,0.066,0.067,0.065,0.066,0.066,0.066,0.068,0.067,0.068,0.067,0.067,0.067,0.067,0.066,0.068,0.067,0.069,0.069,0.068,0.069,0.069,0.069,0.07,0.069,0.07,0.069,0.068,0.069,0.07,0.07,0.07,0.069,0.07,0.071,0.069,0.069,0.068,0.07,0.07,0.07,0.069,0.069,0.07,0.069,0.069,0.069,0.068,0.069,0.071,0.07,0.071,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.071,0.07,0.069,0.069,0.07,0.07,0.069,0.07,0.068,0.07,0.07,0.07,0.07,0.07,0.072,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.069,0.07,0.069,0.07,0.07,0.069,0.069,0.072,0.07,0.07,0.069,0.068,0.069,0.069,0.069,0.07,0.068,0.069,0.067,0.067,0.066,0.067,0.068,0.067,0.067,0.068
0.5,0.067,0.067,0.067,0.068,0.067,0.067,0.066,0.066,0.066,0.067,0.068,0.068,0.069,0.068,0.069,0.069,0.069,0.069,0.068,0.066,0.067,0.069,0.069,0.07,0.068,0.071,0.068,0.069,0.069,0.068,0.068,0.07,0.069,0.069,0.068,0.07,0.069,0.068,0.069,0.069,0.067,0.069,0.069,0.07,0.069,0.068,0.069,0.069,0.068,0.071,0.067,0.068,0.068,0.069,0.068,0.068,0.068,0.068,0.069,0.066,0.066,0.068,0.068,0.067,0.069,0.07,0.068,0.068,0.069,0.068,0.068,0.068,0.069,0.068,0.067,0.068,0.068,0.067,0.07,0.066,0.066,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.069,0.07,0.066,0.065,0.065,0.065,0.066,0.065,0.066,0.066,0.066,0.068,0.067,0.067,0.067,0.067,0.067,0.067,0.066,0.067,0.067,0.068,0.068,0.068,0.069,0.069,0.069,0.07,0.069,0.069,0.069,0.068,0.068,0.069,0.07,0.07,0.068,0.07,0.071,0.069,0.069,0.068,0.069,0.069,0.07,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.07,0.07,0.07,0.07,0.07,0.069,0.069,0.069,0.069,0.069,0.07,0.069,0.069,0.068,0.069,0.069,0.069,0.07,0.067,0.069,0.069,0.07,0.07,0.07,0.072,0.069,0.069,0.069,0.07,0.07,0.07,0.07,0.069,0.069,0.069,0.068,0.069,0.07,0.068,0.068,0.072,0.069,0.07,0.068,0.068,0.068,0.069,0.069,0.069,0.068,0.069,0.067,0.066,0.066,0.067,0.068,0.067,0.067,0.068
0.75,0.067,0.068,0.067,0.068,0.067,0.068,0.067,0.067,0.067,0.067,0.068,0.068,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.067,0.068,0.07,0.069,0.07,0.069,0.071,0.069,0.069,0.069,0.068,0.069,0.071,0.069,0.069,0.069,0.072,0.07,0.069,0.069,0.069,0.068,0.07,0.069,0.07,0.069,0.069,0.069,0.069,0.069,0.071,0.068,0.069,0.069,0.07,0.069,0.069,0.069,0.07,0.069,0.068,0.067,0.069,0.07,0.069,0.071,0.072,0.069,0.069,0.07,0.069,0.075,0.075,0.074,0.073,0.072,0.071,0.071,0.07,0.072,0.067,0.073,0.075,0.074,0.075,0.075,0.074,0.076,0.076,0.076,0.077,0.072,0.071,0.072,0.071,0.072,0.071,0.073,0.072,0.072,0.074,0.073,0.074,0.073,0.073,0.073,0.074,0.073,0.073,0.073,0.075,0.075,0.075,0.076,0.075,0.075,0.076,0.075,0.076,0.075,0.074,0.075,0.076,0.076,0.076,0.075,0.077,0.077,0.075,0.076,0.075,0.077,0.077,0.077,0.076,0.076,0.076,0.076,0.076,0.077,0.075,0.076,0.077,0.077,0.077,0.077,0.077,0.077,0.075,0.075,0.076,0.076,0.077,0.077,0.077,0.076,0.077,0.077,0.076,0.078,0.075,0.076,0.076,0.077,0.077,0.077,0.079,0.076,0.076,0.076,0.076,0.076,0.077,0.077,0.075,0.075,0.075,0.074,0.076,0.077,0.075,0.075,0.078,0.076,0.076,0.075,0.075,0.076,0.076,0.076,0.077,0.076,0.078,0.076,0.073,0.073,0.074,0.076,0.076,0.075,0.075
1,0.068,0.068,0.067,0.069,0.068,0.069,0.067,0.067,0.067,0.067,0.068,0.067,0.069,0.068,0.069,0.069,0.069,0.069,0.068,0.067,0.067,0.069,0.069,0.07,0.068,0.071,0.068,0.068,0.068,0.068,0.068,0.07,0.069,0.069,0.068,0.07,0.069,0.068,0.068,0.069,0.068,0.069,0.069,0.069,0.068,0.068,0.068,0.068,0.068,0.071,0.067,0.067,0.068,0.068,0.068,0.068,0.068,0.069,0.068,0.067,0.066,0.068,0.069,0.068,0.068,0.071,0.068,0.069,0.069,0.068,0.068,0.069,0.068,0.067,0.067,0.067,0.068,0.068,0.071,0.066,0.067,0.068,0.068,0.068,0.067,0.068,0.069,0.069,0.068,0.07,0.065,0.064,0.065,0.064,0.066,0.065,0.066,0.065,0.065,0.067,0.066,0.067,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.068,0.068,0.068,0.069,0.068,0.068,0.069,0.068,0.069,0.068,0.068,0.068,0.069,0.069,0.069,0.068,0.07,0.071,0.069,0.069,0.068,0.069,0.069,0.07,0.069,0.069,0.069,0.069,0.068,0.069,0.068,0.069,0.07,0.07,0.07,0.069,0.07,0.069,0.069,0.069,0.069,0.068,0.069,0.069,0.069,0.068,0.069,0.069,0.068,0.07,0.067,0.069,0.068,0.069,0.069,0.069,0.071,0.069,0.07,0.069,0.069,0.069,0.07,0.07,0.068,0.068,0.068,0.068,0.069,0.07,0.069,0.069,0.071,0.069,0.069,0.068,0.068,0.068,0.069,0.068,0.069,0.067,0.07,0.067,0.066,0.066,0.066,0.067,0.067,0.066,0.067
1.25,0.067,0.067,0.067,0.068,0.066,0.068,0.066,0.066,0.066,0.066,0.068,0.068,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.067,0.067,0.07,0.069,0.07,0.069,0.071,0.069,0.068,0.068,0.068,0.068,0.07,0.069,0.069,0.069,0.07,0.069,0.068,0.068,0.069,0.067,0.069,0.069,0.07,0.069,0.068,0.068,0.068,0.068,0.07,0.067,0.067,0.068,0.068,0.068,0.067,0.068,0.069,0.068,0.066,0.066,0.067,0.068,0.067,0.069,0.07,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.068,0.067,0.07,0.066,0.066,0.068,0.068,0.068,0.067,0.067,0.069,0.069,0.068,0.069,0.066,0.064,0.065,0.065,0.065,0.064,0.065,0.065,0.065,0.067,0.066,0.067,0.066,0.066,0.066,0.067,0.066,0.066,0.066,0.068,0.068,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.069,0.068,0.07,0.071,0.068,0.068,0.067,0.069,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.069,0.067,0.069,0.07,0.069,0.07,0.069,0.069,0.069,0.068,0.069,0.069,0.068,0.069,0.069,0.069,0.068,0.068,0.069,0.068,0.07,0.067,0.069,0.068,0.068,0.069,0.069,0.071,0.068,0.069,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.068,0.068,0.069,0.069,0.068,0.068,0.071,0.069,0.069,0.067,0.067,0.068,0.069,0.068,0.069,0.068,0.069,0.066,0.065,0.065,0.066,0.067,0.066,0.066,0.067
1.5,0.067,0.067,0.067,0.068,0.066,0.067,0.067,0.067,0.066,0.066,0.068,0.066,0.069,0.069,0.069,0.069,0.069,0.068,0.068,0.067,0.067,0.069,0.069,0.069,0.068,0.071,0.069,0.068,0.068,0.068,0.068,0.071,0.069,0.069,0.069,0.07,0.069,0.068,0.069,0.069,0.067,0.069,0.069,0.07,0.069,0.068,0.069,0.068,0.069,0.071,0.067,0.068,0.068,0.069,0.068,0.067,0.068,0.069,0.068,0.067,0.066,0.067,0.068,0.068,0.069,0.071,0.068,0.068,0.069,0.067,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.067,0.07,0.065,0.067,0.069,0.068,0.068,0.067,0.067,0.069,0.069,0.069,0.07,0.066,0.065,0.065,0.065,0.066,0.065,0.065,0.065,0.065,0.068,0.066,0.067,0.067,0.066,0.066,0.067,0.066,0.066,0.066,0.068,0.067,0.067,0.068,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.07,0.069,0.07,0.07,0.069,0.069,0.067,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.068,0.069,0.068,0.068,0.069,0.069,0.07,0.07,0.07,0.069,0.069,0.069,0.069,0.068,0.069,0.069,0.069,0.068,0.069,0.069,0.068,0.069,0.067,0.069,0.067,0.068,0.068,0.069,0.071,0.068,0.069,0.068,0.069,0.069,0.069,0.069,0.067,0.068,0.068,0.067,0.068,0.07,0.068,0.068,0.07,0.069,0.069,0.068,0.067,0.068,0.068,0.068,0.069,0.067,0.069,0.067,0.066,0.066,0.066,0.067,0.067,0.066,0.066
1.75,0.068,0.068,0.067,0.068,0.067,0.067,0.067,0.066,0.066,0.067,0.068,0.068,0.069,0.069,0.069,0.069,0.07,0.068,0.069,0.067,0.068,0.069,0.07,0.07,0.069,0.071,0.069,0.069,0.068,0.068,0.068,0.071,0.069,0.069,0.069,0.071,0.069,0.069,0.069,0.07,0.068,0.069,0.069,0.07,0.069,0.068,0.068,0.068,0.068,0.071,0.067,0.068,0.068,0.069,0.068,0.067,0.068,0.069,0.069,0.066,0.066,0.067,0.068,0.067,0.069,0.07,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.068,0.068,0.071,0.066,0.066,0.068,0.068,0.068,0.067,0.068,0.067,0.069,0.069,0.07,0.066,0.064,0.065,0.064,0.065,0.064,0.065,0.065,0.065,0.067,0.066,0.067,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.068,0.067,0.067,0.069,0.068,0.069,0.07,0.068,0.068,0.068,0.067,0.067,0.069,0.069,0.069,0.069,0.071,0.071,0.069,0.069,0.068,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.067,0.069,0.068,0.068,0.069,0.069,0.07,0.07,0.07,0.069,0.069,0.069,0.069,0.068,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.069,0.067,0.068,0.067,0.068,0.068,0.068,0.07,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.067,0.067,0.068,0.067,0.067,0.069,0.069,0.068,0.071,0.069,0.068,0.068,0.067,0.067,0.068,0.068,0.068,0.067,0.069,0.066,0.065,0.066,0.066,0.067,0.066,0.066,0.066
2,0.067,0.067,0.067,0.068,0.067,0.068,0.066,0.067,0.066,0.067,0.067,0.068,0.069,0.069,0.069,0.069,0.07,0.069,0.069,0.068,0.067,0.069,0.069,0.07,0.069,0.072,0.069,0.069,0.068,0.068,0.068,0.071,0.069,0.069,0.069,0.071,0.069,0.069,0.068,0.069,0.067,0.068,0.069,0.07,0.069,0.068,0.069,0.069,0.069,0.07,0.067,0.067,0.068,0.068,0.068,0.067,0.068,0.069,0.069,0.067,0.066,0.068,0.069,0.067,0.069,0.071,0.068,0.069,0.07,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.068,0.068,0.071,0.066,0.066,0.069,0.068,0.068,0.067,0.067,0.068,0.07,0.069,0.07,0.066,0.065,0.065,0.065,0.066,0.065,0.066,0.065,0.065,0.068,0.066,0.067,0.067,0.067,0.067,0.067,0.066,0.066,0.067,0.068,0.067,0.067,0.069,0.068,0.069,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.07,0.069,0.071,0.07,0.069,0.068,0.068,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.068,0.069,0.069,0.069,0.069,0.069,0.07,0.07,0.07,0.069,0.069,0.069,0.069,0.068,0.069,0.069,0.069,0.068,0.068,0.069,0.069,0.069,0.068,0.069,0.068,0.068,0.068,0.069,0.07,0.068,0.068,0.068,0.069,0.069,0.069,0.069,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.068,0.071,0.069,0.069,0.068,0.068,0.067,0.069,0.068,0.069,0.067,0.069,0.067,0.066,0.066,0.066,0.067,0.067,0.066,0.067
